method_id,method,seed,tau,target_val_macro_f1,target_val_negative_recall,F1_s,F1_t,deltaF1,AUC_s,AUC_t,accuracy_t,recall_negative_t,recall_positive_t,weighted_f1_t,kl_diag_gaussian,mmd_linear,train_size
E0,TF-IDF+LR source-only,42,0.4200000000000001,0.6042514699231116,0.7425,0.8491204598074826,0.6266714364664956,0.22244902334098704,0.9264444444444444,0.6856625,0.6608333333333334,0.7225,0.5375,0.6643153999561239,1365.7329416027173,0.05542017221218418,5600
E1,Source-only strong lexical encoder,42,0.55,0.6391959834756031,0.89,0.8621668074003894,0.6413186813186813,0.22084812608170812,0.932525,0.719665625,0.7166666666666667,0.88125,0.3875,0.6961172161172161,8504.187370186246,0.04899026562630832,5600
E2,Weak supervision pseudo labels,42,0.4200000000000001,0.7194426260170205,0.915,0.8583270367571891,0.7439276972321596,0.11439933952502956,0.9286111111111112,0.829940625,0.7875,0.9,0.5625,0.7791376388627378,8504.187370186246,0.04899026562630832,7400
E3,Target adapter calibration,42,0.5200000000000001,0.9148670507108602,0.9525,0.8608255047679765,0.926409308907933,-0.06558380413995657,0.9300027777777777,0.979840625,0.935,0.9575,0.89,0.9347904709489739,8504.187370186246,0.04899026562630832,6200
E4,Weak supervision + adapter,42,0.32000000000000006,0.8709296751115536,0.895,0.8477853606316073,0.888155140432528,-0.04036977980092071,0.9269416666666667,0.959353125,0.8983333333333333,0.9,0.895,0.8994017624223681,8504.187370186246,0.04899026562630832,8000
E5,Domain-adversarial feature filtering,42,0.5700000000000001,0.6898461538461538,0.91,0.8496487628042175,0.6844305120167189,0.16521825078749863,0.9255333333333333,0.77571875,0.7483333333333333,0.89875,0.4475,0.7317659352142111,8003.655062963999,0.015600857811610556,8000
E6,Backbone replacement char1-5,42,0.44000000000000006,0.8592359533228993,0.935,0.8833320370226336,0.8858307849133538,-0.002498747890720132,0.9402472222222222,0.958171875,0.9008333333333334,0.9475,0.8075,0.8996262317363236,18762.812462476468,0.09685728011755243,8000
E0,TF-IDF+LR source-only,123,0.36000000000000004,0.6072270227808326,0.735,0.8474108837175045,0.6217059174697548,0.22570496624774972,0.9265277777777777,0.68369375,0.655,0.71375,0.5375,0.6591149989644125,1365.7329416027173,0.05542017221218418,5600
E1,Source-only strong lexical encoder,123,0.5200000000000001,0.6391309940585248,0.87,0.8689984570465827,0.6479306461229781,0.2210678109236046,0.9325055555555556,0.7187,0.7158333333333333,0.86625,0.415,0.6994696876488643,8504.187370186246,0.04899026562630832,5600
E2,Weak supervision pseudo labels,123,0.27,0.728604492222967,0.8775,0.8522536534875164,0.7547599737380759,0.09749367974944045,0.9286638888888888,0.832528125,0.7883333333333333,0.86875,0.6275,0.7850062436437132,8504.187370186246,0.04899026562630832,7400
E3,Target adapter calibration,123,0.4800000000000001,0.9130883853333501,0.95,0.8599984444271604,0.9283883612241821,-0.06838991679702167,0.9300388888888889,0.97973125,0.9366666666666666,0.9575,0.895,0.9365043469521082,8504.187370186246,0.04899026562630832,6200
E4,Weak supervision + adapter,123,0.30000000000000004,0.8774509803921569,0.9075,0.8494274058851576,0.8969780219780219,-0.04755061609286426,0.9269583333333333,0.961559375,0.9066666666666666,0.91,0.9,0.9075091575091574,8504.187370186246,0.04899026562630832,8000
E5,Domain-adversarial feature filtering,123,0.5400000000000001,0.6880223618870809,0.9025,0.8522117102041413,0.6841131789228676,0.16809853128127372,0.9256027777777778,0.774759375,0.7466666666666667,0.89375,0.4525,0.7309697240493089,8003.655062963999,0.015600857811610556,8000
E6,Backbone replacement char1-5,123,0.4100000000000001,0.8638590525740546,0.9325,0.8791524838678983,0.8874872469654929,-0.00833476309759451,0.9404972222222222,0.960396875,0.9016666666666666,0.9425,0.82,0.9008012560745762,18762.812462476468,0.09685728011755243,8000
E0,TF-IDF+LR source-only,456,0.37000000000000005,0.6034863277596978,0.7325,0.8482507142777734,0.6275911169528191,0.22065959732495433,0.9263583333333333,0.6848375,0.66,0.71625,0.5475,0.664211323785792,1365.7329416027173,0.05542017221218418,5600
E1,Source-only strong lexical encoder,456,0.5100000000000001,0.6392087912087913,0.88,0.8672964290359308,0.6439675753706069,0.22332885366532396,0.9325305555555555,0.718825,0.715,0.87125,0.4025,0.6969768474820943,8504.187370186246,0.04899026562630832,5600
E2,Weak supervision pseudo labels,456,0.24000000000000005,0.7380952380952381,0.885,0.8441231929604023,0.7593068035943518,0.08481638936605052,0.9291194444444445,0.84064375,0.7916666666666666,0.86875,0.6375,0.7887248609328198,8504.187370186246,0.04899026562630832,7400
E3,Target adapter calibration,456,0.38000000000000006,0.9130883853333501,0.95,0.8583329398137217,0.9273995280969327,-0.069066588283211,0.9299833333333334,0.97970625,0.9358333333333333,0.9575,0.8925,0.9356477483770311,8504.187370186246,0.04899026562630832,6200
E4,Weak supervision + adapter,456,0.29000000000000004,0.889512763772671,0.925,0.84765625,0.9059502017181936,-0.058293951718193626,0.9272055555555555,0.967159375,0.9158333333333334,0.93,0.8875,0.9161128049214221,8504.187370186246,0.04899026562630832,8000
E5,Domain-adversarial feature filtering,456,0.5300000000000001,0.6889204545454546,0.9175,0.8521894952939333,0.6743366189501308,0.17785287634380254,0.9255194444444445,0.77329375,0.7425,0.9,0.4275,0.7240002845602358,8003.655062963999,0.015600857811610556,8000
E6,Backbone replacement char1-5,456,0.23000000000000004,0.8743285200335125,0.9,0.8491131204524371,0.896625244976633,-0.04751212452419584,0.9410611111111111,0.96598125,0.9066666666666666,0.91375,0.8925,0.9073647334151717,18762.812462476468,0.09685728011755243,8000
